registered pins: 183
pin 137 (GPIO_137) 137:AMDI0030:00 
pin 138 (GPIO_138) 138:AMDI0030:00 
pin 139 (GPIO_139) 139:AMDI0030:00 
pin 140 (GPIO_140) 140:AMDI0030:00 
pin 141 (GPIO_141) 141:AMDI0030:00 
pin 142 (GPIO_142) 142:AMDI0030:00 
pin 143 (GPIO_143) 143:AMDI0030:00 
pin 144 (GPIO_144) 144:AMDI0030:00 
pin 145 (GPIO_145) 145:AMDI0030:00 
pin 146 (GPIO_146) 146:AMDI0030:00 
pin 147 (GPIO_147) 147:AMDI0030:00 
pin 148 (GPIO_148) 148:AMDI0030:00 
pin 149 (GPIO_149) 149:AMDI0030:00 
pin 150 (GPIO_150) 150:AMDI0030:00 
pin 151 (GPIO_151) 151:AMDI0030:00 
pin 152 (GPIO_152) 152:AMDI0030:00 
pin 153 (GPIO_153) 153:AMDI0030:00 
pin 154 (GPIO_154) 154:AMDI0030:00 
pin 155 (GPIO_155) 155:AMDI0030:00 
pin 156 (GPIO_156) 156:AMDI0030:00 
pin 157 (GPIO_157) 157:AMDI0030:00 
pin 158 (GPIO_158) 158:AMDI0030:00 
pin 159 (GPIO_159) 159:AMDI0030:00 
pin 160 (GPIO_160) 160:AMDI0030:00 
pin 161 (GPIO_161) 161:AMDI0030:00 
pin 162 (GPIO_162) 162:AMDI0030:00 
pin 163 (GPIO_163) 163:AMDI0030:00 
pin 164 (GPIO_164) 164:AMDI0030:00 
pin 165 (GPIO_165) 165:AMDI0030:00 
pin 166 (GPIO_166) 166:AMDI0030:00 
pin 167 (GPIO_167) 167:AMDI0030:00 
pin 168 (GPIO_168) 168:AMDI0030:00 
pin 169 (GPIO_169) 169:AMDI0030:00 
pin 170 (GPIO_170) 170:AMDI0030:00 
pin 171 (GPIO_171) 171:AMDI0030:00 
pin 172 (GPIO_172) 172:AMDI0030:00 
pin 173 (GPIO_173) 173:AMDI0030:00 
pin 174 (GPIO_174) 174:AMDI0030:00 
pin 175 (GPIO_175) 175:AMDI0030:00 
pin 176 (GPIO_176) 176:AMDI0030:00 
pin 177 (GPIO_177) 177:AMDI0030:00 
pin 178 (GPIO_178) 178:AMDI0030:00 
pin 179 (GPIO_179) 179:AMDI0030:00 
pin 180 (GPIO_180) 180:AMDI0030:00 
pin 181 (GPIO_181) 181:AMDI0030:00 
pin 182 (GPIO_182) 182:AMDI0030:00 
pin 183 (GPIO_183) 183:AMDI0030:00 
